Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/XH414HG,%20XH409HG.pdf","//media.digikey.com/photos/Seiko%20Instr%20Photos/XH414HG-IV01E.JPG","728-1050-2-ND,728-1050-1-ND,728-1050-6-ND","XH414HG-IV01E","Seiko Instruments","Seiko Instruments","CAP 80MF 3.3V SURFACE MNT","10,211","2.54","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","XH-HG","Not For New Designs","80 mF","-","3.3 V","-","-","SMD (SMT) Tabs","Surface Mount","Coin, Wide and Corner Terminals","-","0.189"" Dia (4.80mm)","0.073"" (1.85mm)","-20°C ~ 60°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dsk414_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg","604-1148-2-ND,604-1148-1-ND,604-1148-6-ND","DSK-3R3H703T414-HRL","Elna America","Elna America","CAP 70MF -20% +80% 3.3V SMD","2,822","2.58","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","DSK","Active","70 mF","-20%, +80%","3.3 V","100Ohm","500 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.189"" Dia (4.80mm)","0.085"" (2.16mm)","-10°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/CPH3225A_CP3225A.pdf","//media.digikey.com/Renders/Seiko%20Instr%20Renders/CPH3225A%201210%20%283225%20Metric%29.jpg","728-1067-2-ND,728-1067-1-ND,728-1067-6-ND","CPH3225A-2K","Seiko Instruments","Seiko Instruments","CAP 11MF 3.3V SURFACE MNT","25,436","2.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CPH3225A","Active","11 mF","-","3.3 V","-","-","SMD (SMT) Tabs","Surface Mount","1210 (3225 Metric)","-","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.035"" (0.90mm)","-"
"https://api.kemet.com/component-edge/download/datasheet/FC0H473ZFTBR24.pdf","//media.digikey.com/Photos/Kemet%20Photos/FC-SERIES-10.50mm.jpg","399-10938-2-ND,399-10938-1-ND,399-10938-6-ND","FC0H473ZFTBR24","KEMET","KEMET","CAP 47MF -20% +80% 5.5V SMD","13,548","2.95","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","FC","Active","47 mF","-20%, +80%","5.5 V","50Ohm @ 1kHz","-","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.413"" Dia (10.50mm)","0.217"" (5.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/ds_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg","604-1160-2-ND,604-1160-1-ND,604-1160-6-ND","DSK-3R3H334T-HL","Elna America","Elna America","CAP 330MF -20% +80% 3.3V SMD","0","2.84","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","DSK","Active","330 mF","-20%, +80%","3.3 V","200Ohm","500 Hrs @ 60°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.118"" (3.00mm)","-10°C ~ 60°C"
"https://www.cde.com/resources/catalogs/DGH-series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DGH.JPG","1572-1758-ND","DGH105Q2R7","Illinois Capacitor","Illinois Capacitor","CAPACITOR 1F -10% +30% 2.7V TH","9,225","1.45","0","1","Bulk","DGH","Active","1 F","-10%, +30%","2.7 V","200mOhm","1500 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.571"" (14.50mm)","-40°C ~ 65°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HV0810-2R7105-R.JPG","283-4198-ND","HV0810-2R7105-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -10% +30% 2.7V T/H","73,104","1.71","0","1","Bulk","HV","Active","1 F","-10%, +30%","2.7 V","200mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.532"" (13.50mm)","-40°C ~ 65°C"
"https://api.kemet.com/component-edge/download/datasheet/FC0H224ZFTBR24.pdf","//media.digikey.com/Photos/Kemet%20Photos/FC-SERIES-10.50mm.jpg","399-10941-2-ND,399-10941-1-ND,399-10941-6-ND","FC0H224ZFTBR24","KEMET","KEMET","CAP 220MF -20% +80% 5.5V SMD","10,363","3.91","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","FC","Active","220 mF","-20%, +80%","5.5 V","25Ohm @ 1kHz","-","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.413"" Dia (10.50mm)","0.335"" (8.50mm)","-25°C ~ 70°C"
"https://api.kemet.com/component-edge/download/datasheet/FC0V474ZFTBR24.pdf","//media.digikey.com/Photos/Kemet%20Photos/FC-SERIES-10.50mm.jpg","399-10942-2-ND,399-10942-1-ND,399-10942-6-ND","FC0V474ZFTBR24","KEMET","KEMET","CAP 470MF -20% +80% 3.5V SMD","19,126","4.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","FC","Active","470 mF","-20%, +80%","3.5 V","25Ohm @ 1kHz","-","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.413"" Dia (10.50mm)","0.335"" (8.50mm)","-25°C ~ 70°C"
"https://www.cde.com/resources/catalogs/DGH-series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DGH.JPG","1572-1775-ND","DGH305Q2R7","Illinois Capacitor","Illinois Capacitor","CAPACITOR 3F -10% +30% 2.7V TH","11,348","2.01","0","1","Bulk","DGH","Active","3 F","-10%, +30%","2.7 V","80mOhm","1500 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-40°C ~ 65°C"
