Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
"https://katalog.we-online.de/pbs/datasheet/74479276222C.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-PMCI.jpg","732-9716-2-ND,732-9716-1-ND,732-9716-6-ND","74479276222C","Würth Elektronik","Würth Elektronik","FIXED IND 2.2UH 1.6A 135 MOHM","18,582","1.43","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-PMCI","Active","Molded","-","2.2 µH","±20%","1.6 A","2.5A","Shielded","135mOhm Max","-","40MHz","-","-40°C ~ 125°C","1 MHz","-","Surface Mount","0806 (2016 Metric)","-","0.079"" L x 0.063"" W (2.00mm x 1.60mm)","0.039"" (1.00mm)"
"https://katalog.we-online.de/pbs/datasheet/744042100.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744042470.jpg","732-1025-2-ND,732-1025-1-ND,732-1025-6-ND","744042100","Würth Elektronik","Würth Elektronik","FIXED IND 10UH 1.3A 150 MOHM SMD","27,368","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","10 µH","±30%","1.3 A","1A","Shielded","150mOhm Max","-","45MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.079"" (2.00mm)"
"https://katalog.we-online.de/pbs/datasheet/744031004.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744031004.JPG","732-1008-2-ND,732-1008-1-ND,732-1008-6-ND","744031004","Würth Elektronik","Würth Elektronik","FIXED IND 4.7UH 1.2A 105 MOHM","19,859","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","4.7 µH","±30%","1.2 A","900mA","Shielded","105mOhm Max","-","75MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","Nonstandard","3816","0.150"" L x 0.150"" W (3.80mm x 3.80mm)","0.071"" (1.80mm)"
"https://katalog.we-online.de/pbs/datasheet/744042001.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744042470.jpg","732-1016-2-ND,732-1016-1-ND,732-1016-6-ND","744042001","Würth Elektronik","Würth Elektronik","FIXED IND 1UH 2.7A 30 MOHM SMD","6,643","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","1 µH","±30%","2.7 A","2.6A","Shielded","30mOhm Max","-","177MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.079"" (2.00mm)"
"https://katalog.we-online.de/pbs/datasheet/744042004.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744042470.jpg","732-1021-2-ND,732-1021-1-ND,732-1021-6-ND","744042004","Würth Elektronik","Würth Elektronik","FIXED IND 4.7UH 1.72A 82 MOHM","5,613","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","4.7 µH","±30%","1.72 A","1.65A","Shielded","82mOhm Max","-","70MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.079"" (2.00mm)"
"https://katalog.we-online.de/pbs/datasheet/74404054220.pdf","//media.digikey.com/photos/Wurth%20Electronics%20Photos/74404054010.JPG","732-5522-2-ND,732-5522-1-ND,732-5522-6-ND","74404054220","Würth Elektronik","Würth Elektronik","FIXED IND 22UH 1.5A 129 MOHM SMD","4,653","1.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-LQS","Active","Wirewound","Ferrite","22 µH","±20%","1.5 A","1.7A","Semi-Shielded","129mOhm","-","17MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","Nonstandard","5040","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.157"" (4.00mm)"
"https://katalog.we-online.de/pbs/datasheet/74404054047.pdf","//media.digikey.com/photos/Wurth%20Electronics%20Photos/74404054010.JPG","732-5517-2-ND,732-5517-1-ND,732-5517-6-ND","74404054047","Würth Elektronik","Würth Elektronik","FIXED IND 4.7UH 3A 30 MOHM SMD","7,922","1.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-LQS","Active","Wirewound","Ferrite","4.7 µH","±30%","3 A","3.8A","Semi-Shielded","30mOhm","-","43MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","Nonstandard","5040","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.157"" (4.00mm)"
"https://katalog.we-online.de/pbs/datasheet/744029004.pdf","//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-TPC%202813%20Series.jpg","732-1089-2-ND,732-1089-1-ND,732-1089-6-ND","744029004","Würth Elektronik","Würth Elektronik","FIXED IND 4.7UH 1A 200 MOHM SMD","16,554","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","4.7 µH","±30%","1 A","800mA","Shielded","200mOhm Max","-","65MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.059"" (1.50mm)"
"https://katalog.we-online.de/pbs/datasheet/744043003.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/WE-TPC-4828.jpg","732-1097-2-ND,732-1097-1-ND,732-1097-6-ND","744043003","Würth Elektronik","Würth Elektronik","FIXED IND 3.3UH 2.15A 35 MOHM","19,660","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","3.3 µH","±30%","2.15 A","1.8A","Shielded","35mOhm Max","-","80MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.118"" (3.00mm)"
"https://katalog.we-online.de/pbs/datasheet/744043100.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/WE-TPC-4828.jpg","732-1103-2-ND,732-1103-1-ND,732-1103-6-ND","744043100","Würth Elektronik","Würth Elektronik","FIXED IND 10UH 1.19A 110 MOHM","10,024","2.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","10 µH","±30%","1.19 A","1A","Shielded","110mOhm Max","-","40MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.118"" (3.00mm)"
"https://katalog.we-online.de/pbs/datasheet/744025100.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg","732-2617-2-ND,732-2617-1-ND,732-2617-6-ND","744025100","Würth Elektronik","Würth Elektronik","FIXED IND 10UH 1A 190 MOHM SMD","34,508","2.23","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","10 µH","±20%","1 A","1.1A","Shielded","190mOhm Max","-","41MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
