Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//media.digikey.com/Renders/Stackpole%20Renders/CF%2010k.jpg","CF14JT10K0TR-ND,CF14JT10K0CT-ND","CF14JT10K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 10K OHM 1/4W 5% AXIAL","1,893,789","0.14","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","10 kOhms","±5%","0.25W, 1/4W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//media.digikey.com/Renders/Stackpole%20Renders/CF%201k.jpg","CF14JT1K00TR-ND,CF14JT1K00CT-ND","CF14JT1K00","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 1K OHM 1/4W 5% AXIAL","853,742","0.14","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","1 kOhms","±5%","0.25W, 1/4W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)","-","2","-"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_CFR_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/CFN-25JR-52-10K.jpg","10KQTR-ND","CFR-25JR-52-10K","Yageo","Yageo","RES 10K OHM 1/4W 5% AXIAL","250,000","0.01279","0","5000","Tape & Reel (TR)","CFR","Active","10 kOhms","±5%","0.25W, 1/4W","Carbon Film","-","-350/ +500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.094"" Dia x 0.248"" L (2.40mm x 6.30mm)","-","2","-"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_MFR_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/MFR-25FRF52-10K.jpg","10.0KXTR-ND","MFR-25FRF52-10K","Yageo","Yageo","RES 10K OHM 1/4W 1% AXIAL","75,000","0.01437","0","5000","Tape & Reel (TR)","MFR","Active","10 kOhms","±1%","0.25W, 1/4W","Metal Film","-","±100ppm/°C","-55°C ~ 155°C","Axial","Axial","0.094"" Dia x 0.248"" L (2.40mm x 6.30mm)","-","2","-"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_ZOR_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/ZOR.jpg","0.0ETR-ND","ZOR-12-R-52-0R","Yageo","Yageo","RES 0 OHM 1/6W JUMP AXIAL","280,000","0.02119","0","5000","Tape & Reel (TR)","ZOR","Active","0 Ohms","Jumper","0.167W, 1/6W","Carbon Film","-","-","-55°C ~ 155°C","Axial","Axial","0.071"" Dia x 0.130"" L (1.80mm x 3.30mm)","-","2","-"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_ZOR_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/ZOR.jpg","0.0QTR-ND","ZOR-25-R-52-0R","Yageo","Yageo","RES 0 OHM 1/4W JUMP AXIAL","230,000","0.02588","0","5000","Tape & Reel (TR)","ZOR","Active","0 Ohms","Jumper","0.25W, 1/4W","Carbon Film","-","-","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.248"" L (2.30mm x 6.30mm)","-","2","-"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_PNP_PNP(V)_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/PNP400JR-73-100R.jpg","100AETR-ND,100AECT-ND","PNP300JR-73-100R","Yageo","Yageo","RES 100 OHM 3W 5% AXIAL","15,093","0.76","0","1","Tape & Reel (TR),Cut Tape (CT)","PNP","Active","100 Ohms","±5%","3W","Wirewound","Flame Retardant Coating, Safety","-","-40°C ~ 200°C","Axial","Axial","0.181"" Dia x 0.453"" L (4.60mm x 11.50mm)","-","2","-"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_CFR_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/CFR-12JR-1K0.jpg","1.0KQBK-ND","CFR-25JB-52-1K","Yageo","Yageo","RES 1K OHM 1/4W 5% AXIAL","224,450","0.14","0","1","Bulk","CFR","Active","1 kOhms","±5%","0.25W, 1/4W","Carbon Film","-","-350/ +500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.094"" Dia x 0.248"" L (2.40mm x 6.30mm)","-","2","-"
"https://www.bourns.com/docs/Product-Datasheets/FW.pdf","//media.digikey.com/Renders/Bourns%20Renders/FWxxA%2010.jpg","FW20A10R0JACT-ND,FW20A10R0JATB-ND","FW20A10R0JA","Bourns Inc.","Bourns Inc.","RES 10 OHM 2W 5% AXIAL","18,016","0.87","0","1","Cut Tape (CT),Tape & Box (TB)","FWxxA","Active","10 Ohms","±5%","2W","Wirewound","Fusible, Safety","±200ppm/°C","-55°C ~ 155°C","Axial","Axial","0.236"" Dia x 0.472"" L (6.00mm x 12.00mm)","-","2","-"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_MFP_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/MFP-25BRD52-10K.jpg","10KADTR-ND,10KADCT-ND","MFP-25BRD52-10K","Yageo","Yageo","RES 10K OHM 1/4W 0.1% AXIAL","215,769","0.95","0","1","Tape & Reel (TR),Cut Tape (CT)","MFP","Active","10 kOhms","±0.1%","0.25W, 1/4W","Metal Film","-","±25ppm/°C","-55°C ~ 155°C","Axial","Axial","0.094"" Dia x 0.248"" L (2.40mm x 6.30mm)","-","2","-"
