Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Turns Ratio - Primary:Secondary","Impedance - Primary (Ohms)","Impedance - Secondary (Ohms)","DC Resistance (DCR) - Primary","DC Resistance (DCR) - Secondary","Transformer Type","Frequency Range","Frequency Response","Voltage - Isolation","Insertion Loss","Return Loss","Power Level","Operating Temperature","Approval Agency","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
"https://www.hammfg.com/electronics/transformers/audio/149.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_149C.jpg","HM1777-ND","149U","Hammond Manufacturing","Hammond Manufacturing","TRANSFORM AUDIO 150/600 TO 8 IMP","164","28.73","0","1","Bulk","149","Active","-","600, 150/150","8","53Ohm","95Ohm","Economical Open Type","200Hz ~ 15kHz","±1dB","-","0.5dB","-","1000mW","-","-","Through Hole","1.060"" L x 0.820"" W (26.92mm x 20.83mm)","0.820"" (20.83mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/TTC-5023.pdf","//media.digikey.com/photos/Tamura%20Photos/TTC-5025,%20TTC-5027,%20TTC-5035,%20TTC-5036,%20TTC-5034.jpg","MT7238TR-ND,MT7238CT-ND,MT7238DKR-ND","TTC-5023","Tamura","Tamura","TRANSFORMER MODEM 600:600OHM SMD","3,495","6.03","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TTC","Active","1:1","600","600","115Ohm","115Ohm","Data/Voice Coupling","200Hz ~ 4kHz","±0.25dB","3000VRMS @ 1 Minute","2dB Max @ 2kHz","14dB Min @ 200Hz ~ 4kHz","-","-20°C ~ 85°C","UL60950, EN60950","Surface Mount","0.378"" L x 0.492"" W (9.60mm x 12.50mm)","0.299"" (7.60mm)","Flat Lead"
"https://productfinder.pulseeng.com/doc_type/WEB301/doc_num/T628/doc_part/T628.pdf","//media.digikey.com/Photos/Pulse%20Photos/T6003NLT.JPG","553-2102-2-ND,553-2102-1-ND,553-2102-6-ND","T6003NLT","Pulse Electronics Network","Pulse Electronics Network","TRANSFORMER AUDIO 1:1 SMD","7,722","8.83","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","1:1","600","600","55Ohm","70Ohm","General Purpose","-","-","1500Vrms","1dB @ 200Hz, 1dB @ 1kHz, 1dB @ 20kHz, 1.9dB @ 100kHz","20dB @ 200Hz, 1dB @ 1kHz, 25dB @ 10kHz","-","-","-","Surface Mount","0.530"" L x 0.516"" W (13.46mm x 13.11mm)","0.485"" (12.32mm)","Gull Wing"
"http://catalog.triadmagnetics.com/Asset/TY-311P.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/TY-311P.jpg","237-1132-ND","TY-311P","Triad Magnetics","Triad Magnetics","TRANSF 600 OHM 0MA DC TEL","5,441","7.38","0","1","Bulk","TY","Active","1:1.05","600","600","38Ohm","53Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VAC","1dB Typ","26dB Typ","-45dB ~ 7dB","-20°C ~ 85°C","-","Through Hole","0.812"" L x 0.715"" W (20.62mm x 18.16mm)","0.740"" (18.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/TY-403P.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/TY-403P.jpg","237-1136-ND","TY-403P","Triad Magnetics","Triad Magnetics","TRANSF 600 SPLIT SEC .90MA TEL","977","7.38","0","1","Bulk","TY","Active","1.81:1","600","600","80Ohm","56Ohm, 56Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VAC","1.75dB Typ","15dB Typ","-45dB ~ 7dB","-20°C ~ 85°C","-","Through Hole","0.815"" L x 1.250"" W (20.70mm x 31.75mm)","0.530"" (13.46mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/TTC-5017.pdf","//media.digikey.com/photos/Tamura%20Photos/TTC-5017.JPG","MT7207-ND","TTC-5017","Tamura","Tamura","TRANSFORMER TELECOMM 600:600 OHM","27,726","7.57","0","1","Bulk","TTC","Active","1:1","600","600","59Ohm","59Ohm","Data/Voice Coupling","200Hz ~ 4kHz","±0.5dB","1875VRMS @ 1 Second","1.5dB Max @ 1kHz","14dB Min @ 200Hz ~ 4kHz","-","-","UL60950","Through Hole","0.591"" L x 0.571"" W (15.00mm x 14.50mm)","0.472"" (12.00mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/TY-145P.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/TY-145P.jpg","237-1121-ND","TY-145P","Triad Magnetics","Triad Magnetics","TRANSF 600 AUDIO CTAP/600 CTAP","5,578","7.99","0","1","Bulk","TY","Active","1:1","600CT","600CT","44Ohm","58Ohm","Data/Voice Coupling","200Hz ~ 15kHz","±2dB","1500V","1.5dB","26dB","100mW","-20°C ~ 85°C","-","Through Hole","0.812"" L x 0.700"" W (20.62mm x 17.78mm)","0.740"" (18.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/TY-141P.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/TY-141P.jpg","237-1118-ND","TY-141P","Triad Magnetics","Triad Magnetics","TRANSF 10K AUDIO CTAP/10K CTAP","1,837","7.99","0","1","Bulk","TY","Active","1:1","10kCT","10kCT","820Ohm","1.07kOhm","Data/Voice Coupling","200Hz ~ 15kHz","±2dB","1500V","1.5dB","26dB","100mW","-20°C ~ 85°C","-","Through Hole","0.812"" L x 0.700"" W (20.62mm x 17.78mm)","0.740"" (18.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/TY-142P.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/TY-142P.jpg","237-1119-ND","TY-142P","Triad Magnetics","Triad Magnetics","TRANSF 10K AUDIO CTAP/2K CTAP","1,879","7.99","0","1","Bulk","TY","Active","2.24:1","10kCT","2kCT","750Ohm","217Ohm","Data/Voice Coupling","200Hz ~ 15kHz","±2dB","1500V","1.5dB","26dB","100mW","-20°C ~ 85°C","-","Through Hole","0.812"" L x 0.700"" W (20.62mm x 17.78mm)","0.740"" (18.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/TY-402P.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/TY-402P.jpg","237-1135-ND","TY-402P","Triad Magnetics","Triad Magnetics","TRANSF 600 OHM 90MA DC TEL","1,049","7.99","0","1","Bulk","TY","Active","1:1.1","600","600","80Ohm","112Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VAC","1.75dB Typ","13dB Typ","-45dB ~ 7dB","-20°C ~ 85°C","-","Through Hole","0.815"" L x 1.250"" W (20.70mm x 31.75mm)","0.530"" (13.46mm)","PC Pin"
